Rank,Nation,Participation,Played,W,D,L,GF,GA,GD,Pts,Titles,Runners-up
1,Brazil,22,114,76,19,19,237,108,+129,247,5,2
3,Argentina,18,88,47,17,24,152,101,+51,158,3,3
4,Italy,18,83,45,21,17,128,77,+51,156,4,2
5,France,16,73,39,14,20,136,85,+51,131,2,2
6,England,16,74,32,22,20,104,68,+36,118,1,0
7,Spain,16,67,31,17,19,108,75,+33,110,1,0
8,Netherlands,11,55,30,14,11,96,52,+44,104,0,3
9,Uruguay,14,59,25,13,21,89,76,+13,88,2,0
11,Sweden,12,51,19,13,19,80,73,+7,70,0,1
18,Hungary,9,32,15,3,14,87,57,+30,48,0,2
19,Croatia,6,30,13,8,9,43,33,+10,47,0,1
